Year,Series,Arbeitslosenquoten,Anteil der Arbeitslosen,Value
2009,Arbeitslosenquoten,Ausländer,,19.8
2010,Arbeitslosenquoten,Ausländer,,18.9
2011,Arbeitslosenquoten,Ausländer,,18.4
2012,Arbeitslosenquoten,Ausländer,,17.7
2013,Arbeitslosenquoten,Ausländer,,17.5
2014,Arbeitslosenquoten,Ausländer,,17.5
2015,Arbeitslosenquoten,Ausländer,,18.7
2016,Arbeitslosenquoten,Ausländer,,20
2017,Arbeitslosenquoten,Ausländer,,21.5
2018,Arbeitslosenquoten,Ausländer,,17.9
2019,Arbeitslosenquoten,Ausländer,,16.7
2020,Arbeitslosenquoten,Ausländer,,18.9
2021,Arbeitslosenquoten,Ausländer,,17.3
2022,Arbeitslosenquoten,Ausländer,,17.4
2023,Arbeitslosenquoten,Ausländer,,19.7
2024,Arbeitslosenquoten,Ausländer,,19
2025,Arbeitslosenquoten,Ausländer,,17.8
2008,Arbeitslosenquoten,Langzeitarbeitslose,,2.8
2009,Arbeitslosenquoten,Langzeitarbeitslose,,2.5
2010,Arbeitslosenquoten,Langzeitarbeitslose,,2.4
2011,Arbeitslosenquoten,Langzeitarbeitslose,,2.3
2012,Arbeitslosenquoten,Langzeitarbeitslose,,2.3
2013,Arbeitslosenquoten,Langzeitarbeitslose,,2.4
2014,Arbeitslosenquoten,Langzeitarbeitslose,,2.5
2015,Arbeitslosenquoten,Langzeitarbeitslose,,2.4
2016,Arbeitslosenquoten,Langzeitarbeitslose,,2.3
2017,Arbeitslosenquoten,Langzeitarbeitslose,,2.1
2018,Arbeitslosenquoten,Langzeitarbeitslose,,1.9
2019,Arbeitslosenquoten,Langzeitarbeitslose,,1.6
2020,Arbeitslosenquoten,Langzeitarbeitslose,,1.8
2021,Arbeitslosenquoten,Langzeitarbeitslose,,2.2
2022,Arbeitslosenquoten,Langzeitarbeitslose,,1.9
2023,Arbeitslosenquoten,Langzeitarbeitslose,,1.8
2024,Arbeitslosenquoten,Langzeitarbeitslose,,1.9
2025,Arbeitslosenquoten,Langzeitarbeitslose,,2.2
2008,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,37.4
2009,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,32.3
2010,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,32.3
2011,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,32.2
2012,Anteil der Arbeitslosen,,Anteil Langzeitarbeitslose,33.6
