Year,Bereich,Value
2021,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1
2022,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2023,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1
2024,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2025,Richter/Richterinnen in Ordentliche Gerichtsbarkeit,1.02
2019,Richter-Geschäfte,91.02
2020,Richter-Geschäfte,97.38
2021,Richter-Geschäfte,100.68
2022,Richter-Geschäfte,106.33
2023,Richter-Geschäfte,103.65
2024,Richter-Geschäfte,103.62
2025,Richter-Geschäfte,100.98
2019,Staatsanwalts-Geschäfte,81.51
2020,Staatsanwalts-Geschäfte,80.91
2021,Staatsanwalts-Geschäfte,82.15
2022,Staatsanwalts-Geschäfte,78.28
2023,Staatsanwalts-Geschäfte,75.25
2024,Staatsanwalts-Geschäfte,81.45
2025,Staatsanwalts-Geschäfte,85.79
2019,Amtsanwalts-Geschäfte,81.53
2020,Amtsanwalts-Geschäfte,87.37
2021,Amtsanwalts-Geschäfte,88.41
2022,Amtsanwalts-Geschäfte,81.38
2023,Amtsanwalts-Geschäfte,78.32
2024,Amtsanwalts-Geschäfte,78.92
2025,Amtsanwalts-Geschäfte,80.76
2019,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,90.04
2020,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,92.1
2021,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,92.79
2022,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,94.72
2023,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,91.25
2024,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,90.86
2025,Rechtspfleger-Geschäfte bzw. verglb. Tarifbeschäftigte,89.12
2019,Serviceeinheiten-Geschäfte,88.41
2020,Serviceeinheiten-Geschäfte,91.15
2021,Serviceeinheiten-Geschäfte,93.46
2022,Serviceeinheiten-Geschäfte,96.22
2023,Serviceeinheiten-Geschäfte,92.73
2024,Serviceeinheiten-Geschäfte,92.43
2025,Serviceeinheiten-Geschäfte,92.73
