Year,Erwerbstätigenquote,Value
2019,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),77.2
2020,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),76.4
2021,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),77.1
2022,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),77.1
2023,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),76.9
2024,Erwerbstätigenquote  (Anteil Alter 20-64 Jahre w),76.8
2010,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),63.6
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),66.9
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),69.8
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),68.4
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),67.4
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),68.8
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),65.4
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),66.0
2018,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),68.2
2019,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),70.0
2020,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),69.0
2021,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),71.3
2022,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),71.5
2023,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),69.2
2024,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre insgesamt),69.6
2010,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),70.4
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),73.0
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.8
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.4
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),74.3
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.0
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),72.1
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),70.1
2018,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),74.3
2019,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),76.8
2020,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),76.4
2021,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.6
2022,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),80.4
2023,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),77.3
2024,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre m),76.8
2010,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),57.2
2011,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.2
2012,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),62.5
2013,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),60.0
2014,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.0
2015,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),60.9
2016,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),58.2
2017,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.5
2018,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.4
2019,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),62.8
2020,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.2
2021,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),64.9
2022,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),62.3
2023,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),61.0
2024,Menschen mit Migrationshintergrund (Anteil Alter 20-64 Jahre w),62.3
